subject,predicate,object
菠菜,属于,藜科
菠菜,又称,波斯菜
菠菜,富含,铁元素
菠菜,富含,维生素K
菠菜,富含,叶酸
菠菜,热量,23千卡/100克
菠菜,适宜季节,春季
菠菜,适宜季节,秋季
菠菜,常见吃法,凉拌
菠菜,常见吃法,炒制
菠菜,常见吃法,做汤
菠菜,搭配禁忌,豆腐
菠菜,草酸含量,较高
菠菜,储存方式,冷藏
菠菜,烹饪前建议,焯水
菠菜,生长周期,30-50天
菠菜,原产地,波斯
菠菜,颜色,深绿色
菠菜,可食部位,叶
菠菜,最佳食用期,现采现吃
大白菜,属于,十字花科
大白菜,又称,黄芽白
大白菜,富含,维生素C
大白菜,富含,膳食纤维
大白菜,水分含量,95%以上
大白菜,热量,13千卡/100克
大白菜,适宜季节,冬季
大白菜,常见吃法,炖菜
大白菜,常见吃法,腌制
大白菜,常见吃法,炒制
大白菜,经典菜肴,酸菜
大白菜,经典菜肴,白菜炖豆腐
大白菜,储存方式,阴凉通风
大白菜,储存时间,数月
大白菜,生长周期,60-80天
大白菜,原产地,中国
大白菜,品种,胶州大白菜
大白菜,品种,天津青麻叶
大白菜,形状,圆柱形
大白菜,外层叶色,绿色
大白菜,内层叶色,黄白色
黄瓜,属于,葫芦科
黄瓜,类型,果菜类
黄瓜,水分含量,96%以上
黄瓜,热量,15千卡/100克
黄瓜,富含,钾元素
黄瓜,口感,清脆
黄瓜,常见吃法,生食
黄瓜,常见吃法,凉拌
黄瓜,常见吃法,腌制
黄瓜,常见吃法,炒制
黄瓜,适宜季节,夏季
黄瓜,生长方式,攀缘
黄瓜,常见病虫害,白粉病
黄瓜,常见病虫害,蚜虫
黄瓜,储存方式,冷藏
黄瓜,储存时间,一周
黄瓜,原产地,印度
黄瓜,形状,长圆柱形
黄瓜,颜色,绿色
黄瓜,表皮特征,有刺
黄瓜,烹饪技巧,不宜过度加热
茄子,属于,茄科
茄子,又称,落苏
茄子,富含,花青素
茄子,富含,维生素P
茄子,热量,25千卡/100克
茄子,口感,软糯
茄子,常见吃法,红烧
茄子,常见吃法,油炸
茄子,常见吃法,蒸制
茄子,经典菜肴,鱼香茄子
茄子,经典菜肴,地三鲜
茄子,颜色,紫色
茄子,品种,圆茄
茄子,品种,长茄
茄子,适宜季节,夏季
茄子,适宜季节,秋季
茄子,储存方式,阴凉通风
茄子,不宜生吃,是
茄子,吸油性强,是
茄子,原产地,印度
茄子,生长周期,80-100天
茄子,烹饪建议,少油做法
芹菜,属于,伞形科
芹菜,富含,膳食纤维
芹菜,富含,钾元素
芹菜,热量,14千卡/100克
芹菜,口感,脆爽
芹菜,特殊成分,芹菜素
芹菜,香气来源,挥发油
芹菜,常见吃法,炒制
芹菜,常见吃法,凉拌
芹菜,常见吃法,榨汁
芹菜,经典搭配,香干
芹菜,经典搭配,肉丝
芹菜,可食部位,茎
芹菜,可食部位,叶
芹菜,储存方式,冷藏
芹菜,储存时间,一周
芹菜,水分含量,高
芹菜,原产地,地中海
芹菜,生长环境,冷凉气候
芹菜,药用价值,降压
生菜,属于,菊科
生菜,类型,叶菜类
生菜,水分含量,95%以上
生菜,热量,15千卡/100克
生菜,富含,维生素A
生菜,口感,脆嫩
生菜,主要用途,生食
生菜,常见吃法,沙拉
生菜,常见吃法,汉堡夹菜
生菜,常见吃法,清炒
生菜,品种,球生菜
生菜,品种,散叶生菜
生菜,生长周期,40-60天
生菜,适宜温度,15-20℃
生菜,储存方式,冷藏
生菜,储存时间,3-5天
生菜,原产地,欧洲
生菜,颜色,浅绿色
生菜,烹饪建议,快速烹饪
生菜,不宜长时间加热,是
土豆,属于,茄科
土豆,又称,马铃薯
土豆,主要成分,淀粉
土豆,富含,维生素C
土豆,富含,钾元素
土豆,热量,77千卡/100克
土豆,储存方式,阴凉避光
土豆,发芽后,有毒
土豆,常见吃法,炖煮
土豆,常见吃法,炒制
土豆,常见吃法,烤制
土豆,经典菜肴,土豆丝
土豆,经典菜肴,土豆烧牛肉
土豆,品种,黄心土豆
土豆,品种,红皮土豆
土豆,适宜季节,全年
土豆,原产地,南美洲
土豆,生长部位,地下块茎
土豆,储存时间,数月
土豆,烹饪方法,多样
土豆,发芽处理,不可食用
莴苣,属于,菊科
莴苣,又称,莴笋
莴苣,可食部位,茎
莴苣,可食部位,叶
莴苣,富含,钾元素
莴苣,口感,清脆
莴苣,水分含量,高
莴苣,热量,15千卡/100克
莴苣,常见吃法,凉拌
莴苣,常见吃法,炒制
莴苣,常见吃法,腌制
莴苣,适宜季节,春季
莴苣,适宜季节,秋季
莴苣,储存方式,冷藏
莴苣,储存时间,一周
莴苣,原产地,地中海
莴苣,生长周期,60-80天
莴苣,品种,尖叶莴苣
莴苣,品种,圆叶莴苣
莴苣,烹饪建议,快速烹饪
西红柿,属于,茄科
西红柿,又称,番茄
西红柿,富含,番茄红素
西红柿,富含,维生素C
西红柿,热量,18千卡/100克
西红柿,口感,酸甜
西红柿,可生食,是
西红柿,常见吃法,生食
西红柿,常见吃法,炒蛋
西红柿,常见吃法,做汤
西红柿,常见吃法,制作酱料
西红柿,经典菜肴,西红柿炒鸡蛋
西红柿,经典菜肴,罗宋汤
西红柿,颜色,红色
西红柿,品种,圣女果
西红柿,品种,牛心番茄
西红柿,适宜季节,夏季
西红柿,储存方式,常温
西红柿,原产地,南美洲
西红柿,烹饪建议,加热增加营养
小白菜,属于,十字花科
小白菜,又称,青菜
小白菜,富含,维生素C
小白菜,富含,钙元素
小白菜,热量,15千卡/100克
小白菜,口感,鲜嫩
小白菜,常见吃法,清炒
小白菜,常见吃法,煮汤
小白菜,常见吃法,涮火锅
小白菜,生长周期,25-35天
小白菜,适宜季节,全年
小白菜,储存方式,冷藏
小白菜,储存时间,3-5天
小白菜,原产地,中国
小白菜,颜色,青绿色
小白菜,形状,束状
小白菜,烹饪建议,大火快炒
小白菜,不宜久煮,是
洋白菜,属于,十字花科
洋白菜,又称,卷心菜
洋白菜,又称,圆白菜
洋白菜,富含,维生素U
洋白菜,富含,维生素C
洋白菜,热量,25千卡/100克
洋白菜,结构,叶球
洋白菜,常见吃法,炒制
洋白菜,常见吃法,凉拌
洋白菜,常见吃法,腌制
洋白菜,经典菜肴,手撕包菜
洋白菜,储存方式,冷藏
洋白菜,储存时间,数周
洋白菜,适宜季节,全年
洋白菜,原产地,欧洲
洋白菜,生长周期,70-90天
洋白菜,颜色,淡绿色
洋白菜,烹饪建议,保留脆感
油麦菜,属于,菊科
油麦菜,又称,莜麦菜
油麦菜,与生菜,近亲
油麦菜,富含,维生素A
油麦菜,富含,钙元素
油麦菜,热量,12千卡/100克
油麦菜,口感,脆嫩
油麦菜,常见吃法,清炒
油麦菜,常见吃法,凉拌
油麦菜,常见吃法,涮火锅
油麦菜,适宜季节,春季
油麦菜,适宜季节,秋季
油麦菜,生长周期,40-50天
油麦菜,储存方式,冷藏
油麦菜,储存时间,3-5天
油麦菜,原产地,地中海
油麦菜,形状,长披针形
油麦菜,颜色,深绿色
油麦菜,烹饪建议,快速烹饪
油麦菜,不宜久煮,是
