vegetable_name,best_model,RMSE,MAE,MAPE(%)
土豆,ExtraTrees,0.12181392888380124,0.09202425373134318,8.796921314464425
大白菜,HistGradientBoosting,0.086829179093631,0.0699645766909816,7.16194751589253
小白菜,RandomForest,0.27081991602414063,0.21889516129032258,11.438489783215203
油麦菜,RandomForest,0.4137502113584883,0.34674193548387117,14.292378134650347
洋白菜,Ridge,0.17628772015264602,0.1390865702980227,10.196468409192992
生菜,Ridge,0.4910284169970445,0.4419888227775922,14.496684909832947
芹菜,Ridge,0.18860013390569902,0.1327899052890442,5.2413956314745835
茄子,ExtraTrees,0.7765155093750804,0.7177219362745095,30.121350624248016
莴笋,ExtraTrees,0.3110675910762827,0.2599410947712423,11.441420861600223
菠菜,Ridge,0.5595138748727315,0.42112472772958354,10.294011199072196
西红柿,HistGradientBoosting,0.5921924291992591,0.45423036846535164,13.807293768435361
黄瓜,Ridge,0.3127533299359288,0.23024936709902652,9.517870669398047
